Title,Price,Store,Condition
Used Sawtooth st-m24ac-skb Black Solid Body Electric Guitar,$249.99,"Pineville, NC",Great
Used Line 6 JT89F BLACK Solid Body Electric Guitar,$999.99,"Oklahoma City, OK",Good
Used Alvarez Cadiz CC7CE Brown Classical Acoustic Electric Guitar,$350.99,"Cincinnati, OH",Great
Used Ibanez LGB30 George Benson Signature Natural Hollow Body Electric Guitar,$849.99,"Allen Park, MI",Excellent
Used Taylor BBTE Big Baby Natural Acoustic Electric Guitar,$379.99,"Southington, CT",Great
Used PRS SE Custom 24 Black Gold Sunburst Solid Body Electric Guitar,$599.99,"Richmond, VA",Great
Used Epiphone Les Paul Jerry Cantrell Wine Red Solid Body Electric Guitar,$614.99,"Warwick, RI",Great
Used B.C. Rich KKW30 Kerry King Signature Warlock Ghost TRIBAL FLAME Solid Body Electric Guitar,$375.99,"South Austin, TX",Good
Used Yamaha AC3R Vintage Natural Acoustic Electric Guitar,$689.99,"Boston, MA",Great
Used Mitchell MS450 Red Solid Body Electric Guitar,$269.99,"Bridgeton, MO",Great
Used Epiphone Les Paul Standard Black Solid Body Electric Guitar,$304.99,"Bridgeton, MO",Fair
Used Mitchell MX-430SM Amber Acoustic Guitar,$299.99,"Bridgeton, MO",Great
Used Ibanez S8QM Trans Grey Solid Body Electric Guitar,$699.99,"Raleigh, NC",Great
Used Breedlove Pursuit-12 Natural 12 String Acoustic Electric Guitar,$279.99,"Cedar Rapids, IA",Good
Used Alvarez MD610EBG Natural Acoustic Electric Guitar,$499.99,"Erie, PA",Good
Used Fender Player Stratocaster Buttercream Solid Body Electric Guitar,$699.99,"Virginia Beach, VA",Great
Used ESP BB600B BARITONE BEN BURNLEY SIGNATURE Trans Gray Solid Body Electric Guitar,"$1,099.99","Virginia Beach, VA",Great
Used Fender Standard Stratocaster LH Purple Electric Guitar,$549.99,"Tulsa, OK",Good
Used Seagull Coastline S12 AE Natural 12 String Acoustic Electric Guitar,$479.99,"Sugar Land, TX",Great
Used Ibanez RGD71 ALPA Charcoal Burst Black Stained Flat Solid Body Electric Guitar,"$1,099.99","Scranton, PA",Great
Used Schecter Guitar Research Keith Merrow KM7 MKI Trans White Solid Body Electric Guitar,$899.99,"Fredericksburg, VA",Great
Used Schecter Guitar Research Sun Valley Super Shredder Seafoam Green Solid Body Electric Guitar,$449.99,"Fredericksburg, VA",Great
Used PRS SE Custom 22 Semi-Hollowbody Blue Burst Hollow Body Electric Guitar,$544.99,"Fredericksburg, VA",Great
Used Fender American Professional II Telecaster Sienna Sunburst Solid Body Electric Guitar,"$1,189.99","Oklahoma City, OK",Good
Used Danelectro Stock '59 Black Solid Body Electric Guitar,$399.99,"Towson, MD",Great
