Title,Price,Store,Condition
Used Fender American Ultra Stratocaster HSS  LTD BLUE BURST Solid Body Electric Guitar,"$1,099.99","Austin, TX",Good
Used Epiphone G1275 Double Neck Red Solid Body Electric Guitar,$764.99,"Austin, TX",Good
Used 2021 Fender Player Telecaster Polar White Solid Body Electric Guitar,$609.99,"Pittsburgh, PA",Great
Used B.C. Rich WARLOCK STRANGER THINGS BLACK Solid Body Electric Guitar,$799.99,"Willowbrook, TX",Good
Used Yamaha A1M TRANS GREY Acoustic Electric Guitar,$344.99,"Manchester, CT",Good
Used 2008 PRS SE Custom 22 amber burst Solid Body Electric Guitar,$559.99,"Chattanooga, TN",Great
Used Fender FSR Standard Stratocaster satin blue Solid Body Electric Guitar,$559.99,"Chattanooga, TN",Great
Used PRS SE Silver Sky sky blue Solid Body Electric Guitar,$699.99,"New Braunfels, TX",Excellent
Used 2000 Ibanez RG3120TW BLUE Solid Body Electric Guitar,"$1,199.99","Oxford Valley, PA",Fair
Used 1999 Ibanez RC3120RD RED Solid Body Electric Guitar,"$1,199.99","Oxford Valley, PA",Fair
Used Jackson King V Pro Series Black Solid Body Electric Guitar,$699.99,"Goodlettsville, TN",Good
Used 2022 Epiphone ES339 Pelham Blue Hollow Body Electric Guitar,$359.99,"Midlothian, VA",Good
Used 2021 Epiphone ES335 TRAD PRO Inverness Green Hollow Body Electric Guitar,$369.99,"Midlothian, VA",Good
Used 2021 Epiphone Les Paul Special P90S TV Yellow Solid Body Electric Guitar,$349.99,"Midlothian, VA",Good
Used 2021 Fender Limited Edition Player Stratocaster HSS Plus Top Sienna Sunburst Solid Body Electric Guitar,$549.99,"Midlothian, VA",Good
Used 2021 Fender Player Jaguar Black Solid Body Electric Guitar,$519.99,"Midlothian, VA",Good
Used 2021 Epiphone Inspired by Gibson Custom 1959 Les Paul Standard Tobacco Sunburst Solid Body Electric Guitar,$779.99,"Midlothian, VA",Good
Used First Act GUITAR BLACK AND RED Solid Body Electric Guitar,$69.99,"Willowbrook, TX",Good
Used Martin SC-10E Mahogany Acoustic Electric Guitar,$724.99,"Monroeville, PA",Good
Used Steinberger Spirit GT PRO DELUXE Black Solid Body Electric Guitar,$399.99,"Monroeville, PA",Good
Used Squier Classic Vibe Stratocaster Baltic Blue Solid Body Electric Guitar,$499.99,"Plano, TX",Great
Used Epiphone Casino Vintage Sunburst Hollow Body Electric Guitar,$529.99,"Plano, TX",Great
Used Yamaha aex 502 Trans Orange Solid Body Electric Guitar,$899.99,"Plano, TX",Great
Used 2019 Epiphone 1984 Explorer EX White Solid Body Electric Guitar,$999.99,"Round Rock, TX",Great
Used Fender American Standard Telecaster Natural Solid Body Electric Guitar,"$1,039.99","San Antonio, TX",Good
Used Fender CUSTOM SHOP LIMITED ROASTED 50'S STRATOCASTER CLOSET CLASSIC TAHITIAN CORAL Solid Body Electric Guitar,"$3,999.99","Pittsburgh, PA",Great
Used Squier Affinity Stratocaster Left Handed Brown Sunburst Electric Guitar,$139.99,"Dayton, OH",Good
Used Taylor GS Mini Mahogany Mahogany Acoustic Guitar,$449.99,"Nashville, TN",Good
Used Jackson DK2M White Solid Body Electric Guitar,$599.99,"Asheville, NC",Good
Used Italia MODENA SPARKLE RED Solid Body Electric Guitar,$799.99,"Asheville, NC",Good
Used Italia MODULO TIPO 3 SPARKLE GREEN Solid Body Electric Guitar,$799.99,"Asheville, NC",Good
Used Cordoba C4CE Mahogany Classical Acoustic Guitar,$299.99,"North Charlotte, NC",Great
Used Martin DSRC Natural Acoustic Guitar,$749.99,"Central Dallas, TX",Great
Used EVH Striped Series '78 Eruption White with Black Stripes Solid Body Electric Guitar,"$1,049.99","Fayetteville, GA",Excellent
Used Squier CLASSIC VIBE JAGUAR Surf Green Solid Body Electric Guitar,$344.99,"Manchester, CT",Great
Used Schecter Guitar Research C1 PLATINUM BLACKOUT Flat Black Solid Body Electric Guitar,$399.99,"Manchester, CT",Excellent
Used Takamine F-363S Natural Acoustic Guitar,$849.99,"Central Houston, TX",Good
Used Epiphone Les Paul Special I Pelham Blue Solid Body Electric Guitar,$139.99,"Monroeville, PA",Good
Used Washburn C5CEA ORANGE Classical Acoustic Electric Guitar,$169.99,"Oklahoma City, OK",Great
Used Yamaha FG3 Red Label Natural Matte Acoustic Guitar,$699.99,"Allentown, PA",Excellent
Used Epiphone Les Paul Standard Black Solid Body Electric Guitar,$399.99,"North Charlotte, NC",Great
Vintage 1977 Gibson L6 Deluxe Natural Solid Body Electric Guitar,"$1,249.99","North Attleboro, MA",Good
Used Epiphone les paul standard 60s quilt top honeyburst Solid Body Electric Guitar,$449.99,"Towson, MD",Great
Used Yamaha NTX700 Natural Classical Acoustic Electric Guitar,$349.99,"Sugar Land, TX",Excellent
Used Ibanez RG1121PB Natural to Blue Fade Solid Body Electric Guitar,$599.99,"Pineville, NC",Fair
Used 2021 PRS CM4 SE Custom 24 Left Handed Trans Charcoal Electric Guitar,$699.99,"Norman, OK",Excellent
Used Westone SPECTRUM SERIES Candy Apple Red Solid Body Electric Guitar,$349.99,"Dayton, OH",Good
Used Guild Starfire Cherry Hollow Body Electric Guitar,$499.99,"Lincoln, NE",Great
Used Martin GPCPA Koa Natural Acoustic Electric Guitar,$464.99,"Lincoln, NE",Excellent
